number	Log10_NWA	Log10_NWA.density	Log10_NEA	Log10_NEA.density	Log10_NAg	Log10_NAg.density	Log10_NJ	Log10_NJ.density	Log10_NM	Log10_NM.density	m	m.density	TEM	TEM.density	TA	TA.density	TMJ	TMJ.density	TAEW	TAEW.density	Tm	Tm.density
1	3	0.150884	4	0.159277	2	0.185842	3	0.0127286	3	0.0085644	8.85298e-07	0.666743	400	0.00221372	20	0.0395686	21	0.00117708	2	0.0165689	3	0.00180546
2	3.03737	0.163865	4.02727	0.170944	2.04706	0.207092	3.0303	0.014008	3.0303	0.00963298	0.0101019	0.720343	408.081	0.00234815	20.1616	0.0421896	32.899	0.00126621	2.32323	0.0179921	3.32323	0.00203104
3	3.07475	0.176863	4.05455	0.182312	2.09411	0.229528	3.06061	0.0153326	3.06061	0.0107769	0.0202029	0.772968	416.162	0.00247346	20.3232	0.0447214	44.798	0.00135265	2.64646	0.0194264	3.64646	0.00228129
4	3.11212	0.189759	4.08182	0.193289	2.14117	0.253053	3.09091	0.0166993	3.09091	0.0119966	0.0303039	0.823958	424.242	0.00258787	20.4848	0.0471405	56.697	0.00143528	2.9697	0.0208609	3.9697	0.00255861
5	3.14949	0.20244	4.10909	0.2038	2.18823	0.277543	3.12121	0.0181066	3.12121	0.0132931	0.0404049	0.872679	432.323	0.00268986	20.6465	0.0494264	68.596	0.00151313	3.29293	0.0222848	4.29293	0.00286551
6	3.18687	0.2148	4.13636	0.213795	2.23528	0.302848	3.15152	0.0195552	3.15152	0.0146683	0.0505059	0.918544	440.404	0.00277814	20.8081	0.0515614	80.4949	0.00158533	3.61616	0.0236881	4.61616	0.00320459
7	3.22424	0.226742	4.16364	0.223251	2.28234	0.328789	3.18182	0.0210477	3.18182	0.0161249	0.0606069	0.961029	448.485	0.00285178	20.9697	0.0535317	92.3939	0.00165117	3.93939	0.0250613	4.93939	0.00357846
8	3.26162	0.23818	4.19091	0.232165	2.32939	0.355158	3.21212	0.0225894	3.21212	0.0176667	0.0707079	0.999687	456.566	0.00291015	21.1313	0.0553267	104.293	0.0017101	4.26263	0.0263961	5.26263	0.00398979
9	3.29899	0.249042	4.21818	0.240563	2.37645	0.381721	3.24242	0.0241884	3.24242	0.0192988	0.0808089	1.03416	464.646	0.00295298	21.2929	0.0569395	116.192	0.00176177	4.58586	0.0276852	5.58586	0.00444118
10	3.33636	0.259269	4.24545	0.248487	2.42351	0.408216	3.27273	0.0258551	3.27273	0.0210277	0.0909099	1.0642	472.727	0.00298031	21.4545	0.0583662	128.091	0.00180602	4.90909	0.0289224	5.90909	0.00493523
11	3.37374	0.268816	4.27273	0.255997	2.47056	0.434361	3.30303	0.0276027	3.30303	0.0228614	0.101011	1.08965	480.808	0.0029925	21.6162	0.0596063	139.99	0.00184284	5.23232	0.030103	6.23232	0.00547446
12	3.41111	0.277651	4.3	0.263166	2.51762	0.459852	3.33333	0.0294465	3.33333	0.0248087	0.111112	1.11046	488.889	0.0029902	21.7778	0.060662	151.889	0.00187241	5.55556	0.0312235	6.55556	0.00606128
13	3.44848	0.285756	4.32727	0.27007	2.56468	0.484374	3.36364	0.0314039	3.36364	0.0268798	0.121213	1.12669	496.97	0.00297428	21.9394	0.0615381	163.788	0.00189506	5.87879	0.0322819	6.87879	0.00669799
14	3.48586	0.293122	4.35455	0.276787	2.61173	0.507604	3.39394	0.0334936	3.39394	0.0290855	0.131314	1.13847	505.051	0.00294582	22.101	0.0622417	175.687	0.00191122	6.20202	0.0332775	7.20202	0.00738676
