number	Log10_NWA	Log10_NWA.density	Log10_NEA	Log10_NEA.density	Log10_NAg	Log10_NAg.density	Log10_NJ	Log10_NJ.density	Log10_NM	Log10_NM.density	m	m.density	TEM	TEM.density	TA	TA.density	TMJ	TMJ.density	TAEW	TAEW.density	Tm	Tm.density
1	3	0.17365	4	0.134666	2.14922	6.09554e-07	3	4.65585e-05	3	6.6551e-06	8.85298e-07	0.508939	400	0.00183295	20	0.0125232	21	0.000629	2	0.0133348	3	0.0065268
2	3.03737	0.188772	4.02727	0.148781	2.17113	1.17769e-06	3.0303	6.30769e-05	3.0303	1.0967e-05	0.0101019	0.554345	408.081	0.00197341	20.1616	0.0138646	29.6375	0.000710466	2.32323	0.0146036	3.32323	0.00729099
3	3.07475	0.203922	4.05455	0.163442	2.19303	2.23871e-06	3.06061	8.47949e-05	3.06061	1.78272e-05	0.0202029	0.600211	416.162	0.00211127	20.3232	0.0152837	38.2749	0.00079706	2.64646	0.0159066	3.64646	0.00810225
4	3.11212	0.218954	4.08182	0.17856	2.21494	4.18754e-06	3.09091	0.000113131	3.09091	2.86008e-05	0.0303039	0.646163	424.242	0.00224502	20.4848	0.0167804	46.9124	0.000888356	2.9697	0.0172372	3.9697	0.00895888
5	3.14949	0.233728	4.10909	0.194042	2.23685	7.7084e-06	3.12121	0.000149829	3.12121	4.53112e-05	0.0404049	0.691838	432.323	0.00237321	20.6465	0.0183543	55.5499	0.000983849	3.29293	0.018589	4.29293	0.00985885
6	3.18687	0.248111	4.13636	0.20979	2.25875	1.39656e-05	3.15152	0.000197019	3.15152	7.09242e-05	0.0505059	0.73689	440.404	0.00249451	20.8081	0.0200052	64.1873	0.00108297	3.61616	0.0199557	4.61616	0.0108
7	3.22424	0.261981	4.16364	0.225701	2.28066	2.4905e-05	3.18182	0.000257286	3.18182	0.00010974	0.0606069	0.781004	448.485	0.00260769	20.9697	0.0217327	72.8248	0.0011851	3.93939	0.0213321	4.93939	0.0117799
8	3.26162	0.275231	4.19091	0.241675	2.30257	4.37208e-05	3.21212	0.00033375	3.21212	0.000167926	0.0707079	0.8239	456.566	0.00271171	21.1313	0.0235362	81.4623	0.00128957	4.26263	0.0227131	5.26263	0.0127961
9	3.29899	0.287768	4.21818	0.257612	2.32447	7.55626e-05	3.24242	0.000430159	3.24242	0.000254231	0.0808089	0.865341	464.646	0.00280567	21.2929	0.0254148	90.0997	0.00139573	4.58586	0.0240946	5.58586	0.0138461
10	3.33636	0.299517	4.24545	0.273416	2.34638	0.000128583	3.27273	0.000550997	3.27273	0.000380933	0.0909099	0.905132	472.727	0.00288887	21.4545	0.0273671	98.7372	0.00150287	4.90909	0.0254732	5.90909	0.0149275
11	3.37374	0.310421	4.27273	0.288996	2.36828	0.000215452	3.30303	0.000701601	3.30303	0.000565056	0.101011	0.943124	480.808	0.00296078	21.6162	0.0293912	107.375	0.00161035	5.23232	0.0268458	6.23232	0.0160377
12	3.41111	0.320439	4.3	0.304269	2.39019	0.00035551	3.33333	0.000888301	3.33333	0.000829919	0.111112	0.979213	488.889	0.00302103	21.7778	0.0314843	116.012	0.00171748	5.55556	0.0282102	6.55556	0.0171744
13	3.44848	0.329545	4.32727	0.319158	2.4121	0.000577723	3.36364	0.00111858	3.36364	0.00120705	0.121213	1.01333	496.97	0.00306943	21.9394	0.0336429	124.65	0.00182366	5.87879	0.0295643	6.87879	0.018335
14	3.48586	0.337728	4.35455	0.333597	2.434	0.000924684	3.39394	0.00140123	3.39394	0.00173848	0.131314	1.04545	505.051	0.00310594	22.101	0.0358623	133.287	0.00192827	6.20202	0.0309064	7.20202	0.019517
15	3.52323	0.34499	4.38182	0.347526	2.45591	0.00145783	3.42424	0.0017466	3.42424	0.00247941	0.141415	1.07558	513.131	0.00313065	22.2626	0.0381366	141.925	0.00203074	6.52525	0.0322348	7.52525	0.0207177
16	3.5606	0.351341	4.40909	0.360897	2.47782	0.00226413	3.45455	0.00216674	3.45455	0.00350124	0.151516	1.10373	521.212	0.00314377	22.4242	0.0404591	150.562	0.0021305	6.84848	0.0335481	7.84848	0.0219343
17	3.59798	0.3568	4.43636	0.373668	2.49972	0.00346426	3.48485	0.00267566	3.48485	0.00489473	0.161617	1.12993	529.293	0.00314563	22.5859	0.0428214	159.199	0.00222703	7.17172	0.0348444	8.17172	0.0231636
18	3.63535	0.361395	4.46364	0.385806	2.52163	0.00522248	3.51515	0.0032896	3.51515	0.00677331	0.171718	1.15424	537.374	0.00313664	22.7475	0.0452142	167.837	0.00231978	7.49495	0.0361219	8.49495	0.0244022
19	3.67273	0.365155	4.49091	0.397286	2.54354	0.00775781	3.54545	0.00402721	3.54545	0.00927614	0.181819	1.1767	545.455	0.00311727	22.9091	0.0476269	176.474	0.00240824	7.81818	0.0373782	8.81818	0.0256461
20	3.7101	0.368118	4.51818	0.408086	2.56544	0.0113564	3.57576	0.00490982	3.57576	0.0125708	0.19192	1.19736	553.535	0.00308807	23.0707	0.0500478	185.112	0.00249186	8.14141	0.038611	9.14141	0.0268912
21	3.74747	0.370322	4.54545	0.418193	2.58735	0.0163844	3.60606	0.00596165	3.60606	0.0168548	0.202021	1.21623	561.616	0.00304964	23.2323	0.0524644	193.749	0.00257011	8.46465	0.0398174	9.46465	0.0281327
22	3.78485	0.37181	4.57273	0.427593	2.60926	0.0232997	3.63636	0.00720996	3.63636	0.022357	0.212122	1.23336	569.697	0.00300261	23.3939	0.0548632	202.387	0.00264243	8.78788	0.0409943	9.78788	0.0293655
23	3.82222	0.372629	4.6	0.436278	2.63116	0.0326628	3.66667	0.00868522	3.66667	0.029336	0.222223	1.24875	577.778	0.00294764	23.5556	0.05723	211.024	0.00270825	9.11111	0.0421384	10.1111	0.0305841
24	3.85959	0.372828	4.62727	0.444237	2.65307	0.0451431	3.69697	0.0104211	3.69697	0.0380783	0.232324	1.26242	585.859	0.00288544	23.7172	0.0595505	219.662	0.00276698	9.43434	0.0432462	10.4343	0.031783
25	3.89697	0.372461	4.65455	0.451464	2.67498	0.06152	3.72727	0.0124546	3.72727	0.0488938	0.242425	1.27437	593.939	0.00281671	23.8788	0.0618102	228.299	0.00281805	9.75758	0.0443142	10.7576	0.0329563
26	3.93434	0.371587	4.68182	0.457948	2.69688	0.0826771	3.75758	0.0148255	3.75758	0.0621097	0.252526	1.28459	602.02	0.00274219	24.0404	0.0639946	236.937	0.00286088	10.0808	0.0453389	11.0808	0.0340987
27	3.97171	0.370267	4.70909	0.46368	2.71879	0.109586	3.78788	0.0175768	3.78788	0.0780624	0.262627	1.29309	610.101	0.00266261	24.202	0.0660901	245.574	0.00289492	10.404	0.0463169	11.404	0.0352047
